time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,-7.161353045624351e-08,-6.893503676041067e-08,10.002862375204822,6.282880310681744,8.338448559808143e-05,0.0,-6.749193299046462e-06,-1.5036269313035051e-05,0.09540857455341756,-0.017929020216956214,0.004033838075283363,0.0,436.0065552354008,436.34334701682786,435.45581943104617,433.95378132504976
0.12000000000000001,-3.857947604638987e-06,-1.302629708822318e-05,10.015307539267912,6.282007388102469,6.283023353565188,0.0,-0.0001308598459274288,-0.0005332577837842704,0.3193937330446564,-0.008525236735580668,-0.029971543853484345,0.0,477.1303174919571,474.52755988882313,473.07599572628476,473.799516899175
0.18,-4.6917682859283614e-07,-7.644106333645748e-05,10.041877091439623,6.281848418508696,6.281933576700261,0.0,0.00041403273393720024,-0.001619432204796066,0.5661679862629962,0.0070746901962712066,-0.0013662304558338771,0.0,480.4275372117265,482.59120262180323,480.62672404185184,481.80745140100396
0.23999999999999996,5.324305307870393e-05,-0.00020225625542643732,10.080900484503186,6.282167382713059,6.281673688807624,0.0,0.0013945459567847015,-0.0025323235967433387,0.7345183188586358,0.0015437234605047148,-0.011042534773996096,0.0,458.22484207004265,457.4551654745921,459.24144433239314,458.80249600229536
0.3,0.00017325908739207368,-0.0003764100473232445,10.129678687752518,6.282423757635772,6.281206751597535,0.0,0.0026674057501705215,-0.0032528841579487836,0.8913122045940802,0.009238216368298828,-0.0019505268865292144,0.0,454.5606949042457,455.288722427155,455.03864430580177,455.65402993274205
0.36000000000000004,0.0003766313948079476,-0.0005848566183630662,10.187200152810277,0.000511308542256117,6.280658782591708,0.0,0.0041399903383521576,-0.0035899184628313766,1.025958438934858,0.03818323407019911,-0.03010097102498025,0.0,449.1502346146272,446.8617117571638,447.9715826180337,450.31880828314223
0.4200000000000001,0.0006956481795491006,-0.0007772633348372391,10.255785129221378,0.0026445612873766677,6.278466777591252,0.0,0.006730870480104713,-0.0025536094802736603,1.25997812719067,0.02969731099641661,-0.05425702737247899,0.0,479.99724726669325,478.16012937525335,478.4382389288337,477.7922426383421
0.48000000000000015,0.0012239147034325518,-0.0008608616223878237,10.337139258316814,0.004402007952350573,6.27537163708903,0.0,0.011243199950385644,-2.9167837761590433e-05,1.451599878726568,0.028465196541880736,-0.04671839897979885,0.0,466.83397580017373,467.4201913068574,466.1826981831607,466.0866354191902
0.5400000000000001,0.0020873385597620906,-0.0007558492343865471,10.42922658851992,0.005868978979791883,6.272343038446181,0.0,0.01786022296034661,0.0037076984618809004,1.6177537204234111,0.014881620730557564,-0.059311714091688554,0.0,459.8901085315739,458.89005725181227,460.09508164320465,459.0185418764956
0.6000000000000002,0.0034583276634146346,-0.00037629797715273486,10.534656640968064,0.006821019992998778,6.268465226645976,0.0,0.028308112183239097,0.009059965352393718,1.8961559396758456,0.017769243231508695,-0.07824979069959032,0.0,493.4648852441726,492.06228861879777,492.5986630387509,492.8120113623749
0.6600000000000003,0.005524739911004783,0.000333787544407168,10.654483421254506,0.007933542641422875,6.264808545756505,0.0,0.04104057597998714,0.01473456918282837,2.0977136947616035,0.020044405778553643,-0.03911190188055704,0.0,469.82968845180886,472.85120665063323,471.45079140939436,471.62646012318675
0.7200000000000003,0.0084300024909913,0.0014101741015056174,10.786220144872141,0.009445486332192665,6.262236999292847,0.0,0.05607848326266053,0.0213013325425888,2.2931321340047974,0.033906028741347655,-0.051664070630301706,0.0,470.45790810431237,469.484116704228,470.22224724311417,471.2948539939323
0.7800000000000004,0.01224041656290864,0.0028915943522653752,10.926861296848434,0.011257524570392974,6.259276737752506,0.0,0.07124017938833559,0.028275121539095716,2.3946894249773796,0.021510970982227224,-0.04505092168503261,0.0,441.3784188882204,441.9222985253884,443.91654644479553,442.8985952741364
0.8400000000000004,0.017105792891132173,0.00486632319729912,11.077087397381504,0.012188072400399541,6.256488786425525,0.0,0.0912550271296982,0.037681078303126635,2.6123651640124854,-0.0005497660332121372,-0.04945653787292732,0.0,478.51059777077273,478.17399529504274,478.7592977120418,477.07780997483445
0.9000000000000005,0.02308324203879603,0.007351819253511997,11.23461588418919,0.012020047153673552,6.254010441399014,0.0,0.1082361975722274,0.045159174274940296,2.6385162784315996,-0.007731889385907305,-0.028624612433118167,0.0,418.4165514102116,420.2250857620676,420.3770873500057,419.75433442491646
0.9600000000000005,0.030081699247559286,0.010265292157715237,11.392362373361761,0.011310501269848672,6.252275122871501,0.0,0.12519251619269667,0.0519088036792012,2.6197380911005568,-0.02162081906415451,-0.02952332995908132,0.0,405.3176500652642,405.23654273237275,404.6440169587539,403.3918584040054
1.0200000000000005,0.03817175067554395,0.013584743496906616,11.550404618496907,0.009670771360021035,6.250555966277144,0.0,0.14463299653221692,0.05860768620421817,2.6482657418873727,-0.04230938868005102,-0.026965954732873852,0.0,420.73480928175417,420.95588286084404,421.1446610748624,419.35108839178696
1.0800000000000005,0.047651473522431625,0.017325058113486922,11.715983428838271,0.006809248106821819,6.248861349068591,0.0,0.17153851069737505,0.06574390488173026,2.87049131048027,-0.06153246672397979,-0.03092945581960705,0.0,481.0841582251608,480.783812171107,481.0751663567636,479.6161307543664
1.1400000000000006,0.058729088991621756,0.021408356473114766,11.893207971431858,0.0030927545395984524,6.247119023945084,0.0,0.1979007719197634,0.0699491885113753,3.0365604733414493,-0.0627721753607104,-0.025503296590457462,0.0,465.0759200731347,465.50051533744147,465.11216626519996,465.0124929494151
